Initial,Final,Cost Function,Algorithm,Objective Found,Path Cost,Generated Nodes,Visited Nodes
"(29,3)","(27,20)",c1,DFS,True,1010,368,102
"(29,3)","(27,20)",c1,BFS,True,190,1090,283
"(29,3)","(27,20)",c1,Dijkstra,True,190,535,266
"(29,3)","(27,20)",c2,DFS,True,1030,368,102
"(29,3)","(27,20)",c2,BFS,True,200,1090,283
"(29,3)","(27,20)",c2,Dijkstra,True,200,426,212
"(29,3)","(27,20)",c3,DFS,True,1018,368,102
"(29,3)","(27,20)",c3,BFS,True,195,1090,283
"(29,3)","(27,20)",c3,Dijkstra,True,190,491,244
"(29,3)","(27,20)",c4,DFS,True,1018,368,102
"(29,3)","(27,20)",c4,BFS,True,195,1090,283
"(29,3)","(27,20)",c4,Dijkstra,True,181,607,303
"(8,21)","(22,4)",c1,DFS,True,4170,1641,418
"(8,21)","(22,4)",c1,BFS,True,310,3414,879
"(8,21)","(22,4)",c1,Dijkstra,True,310,1719,879
"(8,21)","(22,4)",c2,DFS,True,4240,1641,418
"(8,21)","(22,4)",c2,BFS,True,380,3414,879
"(8,21)","(22,4)",c2,Dijkstra,True,380,1678,853
"(8,21)","(22,4)",c3,DFS,True,4201,1641,418
"(8,21)","(22,4)",c3,BFS,True,341,3414,879
"(8,21)","(22,4)",c3,Dijkstra,True,322,1701,866
"(8,21)","(22,4)",c4,DFS,True,4174,1641,418
"(8,21)","(22,4)",c4,BFS,True,291,3414,879
"(8,21)","(22,4)",c4,Dijkstra,True,266,1710,871
"(4,2)","(1,10)",c1,DFS,True,1330,6373,1630
"(4,2)","(1,10)",c1,BFS,True,110,490,129
"(4,2)","(1,10)",c1,Dijkstra,True,110,284,140
"(4,2)","(1,10)",c2,DFS,True,1355,6373,1630
"(4,2)","(1,10)",c2,BFS,True,125,490,129
"(4,2)","(1,10)",c2,Dijkstra,True,125,256,125
"(4,2)","(1,10)",c3,DFS,True,1346,6373,1630
"(4,2)","(1,10)",c3,BFS,True,116,490,129
"(4,2)","(1,10)",c3,Dijkstra,True,111,261,128
"(4,2)","(1,10)",c4,DFS,True,1340,6373,1630
"(4,2)","(1,10)",c4,BFS,True,116,490,129
"(4,2)","(1,10)",c4,Dijkstra,True,97,286,142
"(10,25)","(29,24)",c1,DFS,True,5700,2243,571
"(10,25)","(29,24)",c1,BFS,True,200,1963,502
"(10,25)","(29,24)",c1,Dijkstra,True,200,1063,525
"(10,25)","(29,24)",c2,DFS,True,5795,2243,571
"(10,25)","(29,24)",c2,BFS,True,295,1963,502
"(10,25)","(29,24)",c2,Dijkstra,True,295,1336,665
"(10,25)","(29,24)",c3,DFS,True,5747,2243,571
"(10,25)","(29,24)",c3,BFS,True,242,1963,502
"(10,25)","(29,24)",c3,Dijkstra,True,241,1231,609
"(10,25)","(29,24)",c4,DFS,True,5696,2243,571
"(10,25)","(29,24)",c4,BFS,True,196,1963,502
"(10,25)","(29,24)",c4,Dijkstra,True,186,1104,548
"(17,2)","(1,12)",c1,DFS,True,5440,4858,1248
"(17,2)","(1,12)",c1,BFS,True,260,2443,626
"(17,2)","(1,12)",c1,Dijkstra,True,260,1276,638
"(17,2)","(1,12)",c2,DFS,True,5530,4858,1248
"(17,2)","(1,12)",c2,BFS,True,340,2443,626
"(17,2)","(1,12)",c2,Dijkstra,True,340,1489,748
"(17,2)","(1,12)",c3,DFS,True,5486,4858,1248
"(17,2)","(1,12)",c3,BFS,True,296,2443,626
"(17,2)","(1,12)",c3,Dijkstra,True,281,1380,689
"(17,2)","(1,12)",c4,DFS,True,5442,4858,1248
"(17,2)","(1,12)",c4,BFS,True,244,2443,626
"(17,2)","(1,12)",c4,Dijkstra,True,220,1192,598
"(0,5)","(26,18)",c1,DFS,True,8190,3199,820
"(0,5)","(26,18)",c1,BFS,True,390,3158,813
"(0,5)","(26,18)",c1,Dijkstra,True,390,1594,812
"(0,5)","(26,18)",c2,DFS,True,8320,3199,820
"(0,5)","(26,18)",c2,BFS,True,520,3158,813
"(0,5)","(26,18)",c2,Dijkstra,True,520,1645,839
"(0,5)","(26,18)",c3,DFS,True,8259,3199,820
"(0,5)","(26,18)",c3,BFS,True,451,3158,813
"(0,5)","(26,18)",c3,Dijkstra,True,429,1635,833
"(0,5)","(26,18)",c4,DFS,True,8182,3199,820
"(0,5)","(26,18)",c4,BFS,True,372,3158,813
"(0,5)","(26,18)",c4,Dijkstra,True,338,1609,819
"(1,11)","(6,0)",c1,DFS,True,1740,687,175
"(1,11)","(6,0)",c1,BFS,True,160,1144,295
"(1,11)","(6,0)",c1,Dijkstra,True,160,569,279
"(1,11)","(6,0)",c2,DFS,True,1765,687,175
"(1,11)","(6,0)",c2,BFS,True,185,1144,295
