Initial,Final,Cost Function,Algorithm,Objective Found,Path Cost,Generated Nodes,Visited Nodes,Randomization
"(14,9)","(1,27)",c1,DFS,True,2510,759,405,True
"(14,9)","(1,27)",c1,BFS,True,310,1800,920,True
"(14,9)","(1,27)",c2,DFS,True,3065,603,272,True
"(14,9)","(1,27)",c2,BFS,True,375,1799,919,True
"(14,9)","(1,27)",c3,DFS,True,2628,605,251,True
"(14,9)","(1,27)",c3,BFS,True,346,1812,927,True
"(14,9)","(1,27)",c4,DFS,True,2814,845,425,True
"(14,9)","(1,27)",c4,BFS,True,306,1812,927,True
"(14,9)","(1,27)",c1,DFS,True,3350,1768,1287,True
"(14,9)","(1,27)",c1,BFS,True,310,1812,927,True
"(14,9)","(1,27)",c2,DFS,True,4105,1347,874,True
"(14,9)","(1,27)",c2,BFS,True,375,1812,927,True
"(14,9)","(1,27)",c3,DFS,True,3671,845,383,True
"(14,9)","(1,27)",c3,BFS,True,341,1812,927,True
"(14,9)","(1,27)",c4,DFS,True,3248,999,523,True
"(14,9)","(1,27)",c4,BFS,True,298,1812,927,True
"(14,9)","(1,27)",c1,DFS,True,4430,1112,473,True
"(14,9)","(1,27)",c1,BFS,True,310,1800,920,True
"(14,9)","(1,27)",c2,DFS,True,2345,500,224,True
"(14,9)","(1,27)",c2,BFS,True,375,1812,927,True
"(14,9)","(1,27)",c3,DFS,True,4236,1025,474,True
"(14,9)","(1,27)",c3,BFS,True,337,1800,920,True
"(14,9)","(1,27)",c4,DFS,True,2349,760,400,True
"(14,9)","(1,27)",c4,BFS,True,293,1812,927,True
"(14,9)","(1,27)",c1,DFS,True,1390,1171,949,True
"(14,9)","(1,27)",c1,BFS,True,310,1812,927,True
"(14,9)","(1,27)",c2,DFS,True,3425,715,335,True
"(14,9)","(1,27)",c2,BFS,True,375,1812,927,True
"(14,9)","(1,27)",c3,DFS,True,3530,1056,590,True
"(14,9)","(1,27)",c3,BFS,True,342,1803,921,True
"(14,9)","(1,27)",c4,DFS,True,4092,1226,626,True
"(14,9)","(1,27)",c4,BFS,True,301,1800,920,True
"(14,9)","(1,27)",c1,DFS,True,5230,1694,978,True
"(14,9)","(1,27)",c1,BFS,True,310,1799,919,True
"(14,9)","(1,27)",c2,DFS,True,1915,865,622,True
"(14,9)","(1,27)",c2,BFS,True,375,1800,920,True
"(14,9)","(1,27)",c3,DFS,True,1873,433,195,True
"(14,9)","(1,27)",c3,BFS,True,336,1812,927,True
"(14,9)","(1,27)",c4,DFS,True,856,227,89,True
"(14,9)","(1,27)",c4,BFS,True,312,1812,927,True
"(14,9)","(1,27)",c1,DFS,True,3510,940,412,True
"(14,9)","(1,27)",c1,BFS,True,310,1812,927,True
"(14,9)","(1,27)",c2,DFS,True,2655,542,242,True
"(14,9)","(1,27)",c2,BFS,True,375,1800,920,True
"(14,9)","(1,27)",c3,DFS,True,1097,260,101,True
"(14,9)","(1,27)",c3,BFS,True,342,1812,927,True
"(14,9)","(1,27)",c4,DFS,True,2064,635,319,True
"(14,9)","(1,27)",c4,BFS,True,304,1800,920,True
"(14,9)","(1,27)",c1,DFS,True,4410,1286,671,True
"(14,9)","(1,27)",c1,BFS,True,310,1812,927,True
"(14,9)","(1,27)",c2,DFS,True,2465,1792,1497,True
"(14,9)","(1,27)",c2,BFS,True,375,1804,922,True
"(14,9)","(1,27)",c3,DFS,True,4838,1452,831,True
"(14,9)","(1,27)",c3,BFS,True,342,1800,920,True
"(14,9)","(1,27)",c4,DFS,True,3695,1343,803,True
"(14,9)","(1,27)",c4,BFS,True,301,1800,920,True
"(14,9)","(1,27)",c1,DFS,True,2810,1684,1301,True
"(14,9)","(1,27)",c1,BFS,True,310,1812,927,True
"(14,9)","(1,27)",c2,DFS,True,1855,483,254,True
"(14,9)","(1,27)",c2,BFS,True,375,1803,921,True
"(14,9)","(1,27)",c3,DFS,True,3392,1270,798,True
"(14,9)","(1,27)",c3,BFS,True,348,1800,920,True
"(14,9)","(1,27)",c4,DFS,True,4503,1824,1194,True
"(14,9)","(1,27)",c4,BFS,True,321,1800,920,True
"(14,9)","(1,27)",c1,DFS,True,4670,1484,812,True
"(14,9)","(1,27)",c1,BFS,True,310,1800,920,True
"(14,9)","(1,27)",c2,DFS,True,4795,1689,1146,True
"(14,9)","(1,27)",c2,BFS,True,375,1800,920,True
"(14,9)","(1,27)",c3,DFS,True,1398,1800,1602,True
"(14,9)","(1,27)",c3,BFS,True,347,1800,920,True
"(14,9)","(1,27)",c4,DFS,True,1850,457,189,True
"(14,9)","(1,27)",c4,BFS,True,295,1800,920,True
"(14,9)","(1,27)",c1,DFS,True,4230,1600,994,True
"(14,9)","(1,27)",c1,BFS,True,310,1812,927,True
"(14,9)","(1,27)",c2,DFS,True,5695,1266,606,True
"(14,9)","(1,27)",c2,BFS,True,375,1813,927,True
"(14,9)","(1,27)",c3,DFS,True,4341,1031,478,True
"(14,9)","(1,27)",c3,BFS,True,344,1812,927,True
"(14,9)","(1,27)",c4,DFS,True,2557,1794,1418,True
"(14,9)","(1,27)",c4,BFS,True,322,1816,929,True
"(18,26)","(30,22)",c1,DFS,True,740,198,87,True
"(18,26)","(30,22)",c1,BFS,True,160,743,363,True
"(18,26)","(30,22)",c2,DFS,True,1660,397,190,True
"(18,26)","(30,22)",c2,BFS,True,220,750,368,True
"(18,26)","(30,22)",c3,DFS,True,1428,406,228,True
"(18,26)","(30,22)",c3,BFS,True,186,729,356,True
"(18,26)","(30,22)",c4,DFS,True,693,191,72,True
"(18,26)","(30,22)",c4,BFS,True,139,743,363,True
"(18,26)","(30,22)",c1,DFS,True,4180,1664,1074,True
"(18,26)","(30,22)",c1,BFS,True,160,734,360,True
"(18,26)","(30,22)",c2,DFS,True,1340,1830,1665,True
"(18,26)","(30,22)",c2,BFS,True,220,774,378,True
"(18,26)","(30,22)",c3,DFS,True,335,80,31,True
"(18,26)","(30,22)",c3,BFS,True,186,767,375,True
"(18,26)","(30,22)",c4,DFS,True,4208,1315,692,True
"(18,26)","(30,22)",c4,BFS,True,142,777,380,True
"(18,26)","(30,22)",c1,DFS,True,1240,313,129,True
"(18,26)","(30,22)",c1,BFS,True,160,733,358,True
"(18,26)","(30,22)",c2,DFS,True,2160,1860,1613,True
"(18,26)","(30,22)",c2,BFS,True,220,763,374,True
"(18,26)","(30,22)",c3,DFS,True,1601,375,155,True
"(18,26)","(30,22)",c3,BFS,True,188,739,362,True
"(18,26)","(30,22)",c4,DFS,True,3090,905,457,True
"(18,26)","(30,22)",c4,BFS,True,152,733,359,True
"(18,26)","(30,22)",c1,DFS,True,3180,1817,1356,True
"(18,26)","(30,22)",c1,BFS,True,160,727,356,True
"(18,26)","(30,22)",c2,DFS,True,1460,301,119,True
"(18,26)","(30,22)",c2,BFS,True,220,735,360,True
"(18,26)","(30,22)",c3,DFS,True,2030,1859,1574,True
"(18,26)","(30,22)",c3,BFS,True,189,741,362,True
"(18,26)","(30,22)",c4,DFS,True,5458,1507,740,True
"(18,26)","(30,22)",c4,BFS,True,144,735,360,True
"(18,26)","(30,22)",c1,DFS,True,3980,1231,668,True
"(18,26)","(30,22)",c1,BFS,True,160,729,357,True
"(18,26)","(30,22)",c2,DFS,True,2640,570,238,True
"(18,26)","(30,22)",c2,BFS,True,220,758,372,True
"(18,26)","(30,22)",c3,DFS,True,2086,442,198,True
"(18,26)","(30,22)",c3,BFS,True,188,731,357,True
"(18,26)","(30,22)",c4,DFS,True,857,1678,1542,True
"(18,26)","(30,22)",c4,BFS,True,144,739,361,True
"(18,26)","(30,22)",c1,DFS,True,400,206,140,True
"(18,26)","(30,22)",c1,BFS,True,160,781,383,True
"(18,26)","(30,22)",c2,DFS,True,1830,354,152,True
"(18,26)","(30,22)",c2,BFS,True,220,771,377,True
"(18,26)","(30,22)",c3,DFS,True,4981,1480,847,True
"(18,26)","(30,22)",c3,BFS,True,184,735,359,True
"(18,26)","(30,22)",c4,DFS,True,2971,1395,936,True
"(18,26)","(30,22)",c4,BFS,True,144,771,377,True
"(18,26)","(30,22)",c1,DFS,True,2640,650,274,True
"(18,26)","(30,22)",c1,BFS,True,160,742,364,True
"(18,26)","(30,22)",c2,DFS,True,990,195,90,True
"(18,26)","(30,22)",c2,BFS,True,220,727,355,True
"(18,26)","(30,22)",c3,DFS,True,3516,1020,577,True
"(18,26)","(30,22)",c3,BFS,True,190,741,362,True
"(18,26)","(30,22)",c4,DFS,True,4089,1362,784,True
"(18,26)","(30,22)",c4,BFS,True,155,775,380,True
"(18,26)","(30,22)",c1,DFS,True,3920,1162,594,True
"(18,26)","(30,22)",c1,BFS,True,160,783,383,True
"(18,26)","(30,22)",c2,DFS,True,5050,1176,597,True
"(18,26)","(30,22)",c2,BFS,True,220,779,381,True
"(18,26)","(30,22)",c3,DFS,True,1116,1818,1656,True
"(18,26)","(30,22)",c3,BFS,True,185,721,353,True
"(18,26)","(30,22)",c4,DFS,True,4100,1533,937,True
"(18,26)","(30,22)",c4,BFS,True,149,739,362,True
"(18,26)","(30,22)",c1,DFS,True,1540,1813,1579,True
"(18,26)","(30,22)",c1,BFS,True,160,731,358,True
"(18,26)","(30,22)",c2,DFS,True,4620,1040,476,True
"(18,26)","(30,22)",c2,BFS,True,220,781,383,True
"(18,26)","(30,22)",c3,DFS,True,859,189,83,True
"(18,26)","(30,22)",c3,BFS,True,192,773,378,True
"(18,26)","(30,22)",c4,DFS,True,2588,739,358,True
"(18,26)","(30,22)",c4,BFS,True,148,733,358,True
"(18,26)","(30,22)",c1,DFS,True,3400,901,420,True
"(18,26)","(30,22)",c1,BFS,True,160,741,363,True
"(18,26)","(30,22)",c2,DFS,True,3590,988,579,True
"(18,26)","(30,22)",c2,BFS,True,220,735,360,True
"(18,26)","(30,22)",c3,DFS,True,1775,1431,1181,True
"(18,26)","(30,22)",c3,BFS,True,187,763,373,True
"(18,26)","(30,22)",c4,DFS,True,4295,1437,843,True
"(18,26)","(30,22)",c4,BFS,True,138,783,384,True
"(24,20)","(3,12)",c1,DFS,True,2190,1736,1413,True
"(24,20)","(3,12)",c1,BFS,True,290,1614,817,True
"(24,20)","(3,12)",c2,DFS,True,5915,1583,907,True
"(24,20)","(3,12)",c2,BFS,True,395,1621,821,True
"(24,20)","(3,12)",c3,DFS,True,2230,502,203,True
"(24,20)","(3,12)",c3,BFS,True,341,1614,817,True
"(24,20)","(3,12)",c4,DFS,True,2838,718,303,True
"(24,20)","(3,12)",c4,BFS,True,296,1624,823,True
"(24,20)","(3,12)",c1,DFS,True,2570,692,316,True
"(24,20)","(3,12)",c1,BFS,True,290,1624,823,True
"(24,20)","(3,12)",c2,DFS,True,2145,513,224,True
"(24,20)","(3,12)",c2,BFS,True,395,1609,815,True
"(24,20)","(3,12)",c3,DFS,True,4306,988,466,True
"(24,20)","(3,12)",c3,BFS,True,345,1614,817,True
"(24,20)","(3,12)",c4,DFS,True,2659,793,394,True
"(24,20)","(3,12)",c4,BFS,True,285,1624,823,True
"(24,20)","(3,12)",c1,DFS,True,5670,1626,871,True
"(24,20)","(3,12)",c1,BFS,True,290,1621,821,True
"(24,20)","(3,12)",c2,DFS,True,3365,749,332,True
"(24,20)","(3,12)",c2,BFS,True,395,1613,817,True
"(24,20)","(3,12)",c3,DFS,True,2527,591,232,True
"(24,20)","(3,12)",c3,BFS,True,337,1624,823,True
"(24,20)","(3,12)",c4,DFS,True,4430,1567,934,True
"(24,20)","(3,12)",c4,BFS,True,287,1624,823,True
"(24,20)","(3,12)",c1,DFS,True,3350,1374,892,True
"(24,20)","(3,12)",c1,BFS,True,290,1614,817,True
"(24,20)","(3,12)",c2,DFS,True,4925,1742,1180,True
"(24,20)","(3,12)",c2,BFS,True,395,1614,817,True
"(24,20)","(3,12)",c3,DFS,True,4219,1141,574,True
"(24,20)","(3,12)",c3,BFS,True,335,1614,817,True
"(24,20)","(3,12)",c4,DFS,True,2917,824,364,True
"(24,20)","(3,12)",c4,BFS,True,289,1614,817,True
"(24,20)","(3,12)",c1,DFS,True,2350,819,503,True
"(24,20)","(3,12)",c1,BFS,True,290,1624,823,True
"(24,20)","(3,12)",c2,DFS,True,3025,881,527,True
"(24,20)","(3,12)",c2,BFS,True,395,1614,817,True
"(24,20)","(3,12)",c3,DFS,True,4526,1193,639,True
"(24,20)","(3,12)",c3,BFS,True,336,1617,819,True
"(24,20)","(3,12)",c4,DFS,True,3411,979,489,True
"(24,20)","(3,12)",c4,BFS,True,284,1623,822,True
"(24,20)","(3,12)",c1,DFS,True,4030,1783,1226,True
"(24,20)","(3,12)",c1,BFS,True,290,1623,822,True
"(24,20)","(3,12)",c2,DFS,True,5585,1712,1091,True
"(24,20)","(3,12)",c2,BFS,True,395,1613,816,True
"(24,20)","(3,12)",c3,DFS,True,3444,1257,799,True
"(24,20)","(3,12)",c3,BFS,True,339,1624,823,True
"(24,20)","(3,12)",c4,DFS,True,4568,1590,937,True
"(24,20)","(3,12)",c4,BFS,True,287,1597,808,True
"(24,20)","(3,12)",c1,DFS,True,2230,1421,1095,True
"(24,20)","(3,12)",c1,BFS,True,290,1614,817,True
"(24,20)","(3,12)",c2,DFS,True,4915,1117,573,True
"(24,20)","(3,12)",c2,BFS,True,395,1614,817,True
"(24,20)","(3,12)",c3,DFS,True,1442,356,162,True
"(24,20)","(3,12)",c3,BFS,True,346,1621,821,True
"(24,20)","(3,12)",c4,DFS,True,3697,1104,575,True
"(24,20)","(3,12)",c4,BFS,True,297,1619,820,True
"(24,20)","(3,12)",c1,DFS,True,2090,512,215,True
"(24,20)","(3,12)",c1,BFS,True,290,1614,817,True
"(24,20)","(3,12)",c2,DFS,True,5425,1113,514,True
"(24,20)","(3,12)",c2,BFS,True,395,1617,819,True
"(24,20)","(3,12)",c3,DFS,True,1400,308,131,True
"(24,20)","(3,12)",c3,BFS,True,338,1614,817,True
"(24,20)","(3,12)",c4,DFS,True,1550,402,161,True
"(24,20)","(3,12)",c4,BFS,True,289,1614,817,True
"(24,20)","(3,12)",c1,DFS,True,3950,1528,964,True
"(24,20)","(3,12)",c1,BFS,True,290,1614,817,True
"(24,20)","(3,12)",c2,DFS,True,3515,772,381,True
"(24,20)","(3,12)",c2,BFS,True,395,1613,817,True
"(24,20)","(3,12)",c3,DFS,True,3518,1030,586,True
"(24,20)","(3,12)",c3,BFS,True,337,1614,817,True
"(24,20)","(3,12)",c4,DFS,True,1941,518,219,True
"(24,20)","(3,12)",c4,BFS,True,290,1624,823,True
"(24,20)","(3,12)",c1,DFS,True,1770,482,231,True
"(24,20)","(3,12)",c1,BFS,True,290,1617,819,True
"(24,20)","(3,12)",c2,DFS,True,2325,1827,1552,True
"(24,20)","(3,12)",c2,BFS,True,395,1624,823,True
"(24,20)","(3,12)",c3,DFS,True,5957,1481,738,True
"(24,20)","(3,12)",c3,BFS,True,342,1614,817,True
"(24,20)","(3,12)",c4,DFS,True,3555,1089,574,True
"(24,20)","(3,12)",c4,BFS,True,290,1614,817,True
"(23,7)","(3,2)",c1,DFS,True,4050,1360,775,True
"(23,7)","(3,2)",c1,BFS,True,250,1394,697,True
"(23,7)","(3,2)",c2,DFS,True,2690,527,233,True
