Initial,Final,Cost Function,Algorithm,Objective Found,Path Cost,Generated Nodes,Visited Nodes,Heuristic
"(29,25)","(22,11)",c1,A,True,310,1501,385,h1
"(29,25)","(22,11)",c1,A,True,310,1317,338,h2
"(29,25)","(22,11)",c2,A,True,345,1360,350,h1
"(29,25)","(22,11)",c2,A,True,345,1246,321,h2
"(29,25)","(22,11)",c3,A,True,317,1413,363,h1
"(29,25)","(22,11)",c3,A,True,317,1237,318,h2
"(29,25)","(22,11)",c4,A,True,287,1528,391,h1
"(29,25)","(22,11)",c4,A,True,298,1310,334,h2
"(18,8)","(8,7)",c1,A,True,130,313,79,h1
"(18,8)","(8,7)",c1,A,True,130,273,69,h2
"(18,8)","(8,7)",c2,A,True,180,589,148,h1
"(18,8)","(8,7)",c2,A,True,180,421,106,h2
"(18,8)","(8,7)",c3,A,True,145,385,97,h1
"(18,8)","(8,7)",c3,A,True,145,233,59,h2
"(18,8)","(8,7)",c4,A,True,111,165,42,h1
"(18,8)","(8,7)",c4,A,True,111,229,58,h2
"(30,16)","(14,12)",c1,A,True,260,1149,292,h1
"(30,16)","(14,12)",c1,A,True,260,914,232,h2
"(30,16)","(14,12)",c2,A,True,340,1483,378,h1
"(30,16)","(14,12)",c2,A,True,340,1130,288,h2
"(30,16)","(14,12)",c3,A,True,281,1190,303,h1
"(30,16)","(14,12)",c3,A,True,281,864,220,h2
"(30,16)","(14,12)",c4,A,True,229,898,228,h1
"(30,16)","(14,12)",c4,A,True,220,654,166,h2
"(8,18)","(26,13)",c1,A,True,230,625,157,h1
"(8,18)","(26,13)",c1,A,True,230,541,136,h2
"(8,18)","(26,13)",c2,A,True,320,1933,484,h1
"(8,18)","(26,13)",c2,A,True,320,1277,320,h2
"(8,18)","(26,13)",c3,A,True,262,1061,266,h1
"(8,18)","(26,13)",c3,A,True,262,649,163,h2
"(8,18)","(26,13)",c4,A,True,205,361,91,h1
"(8,18)","(26,13)",c4,A,True,211,213,54,h2
"(17,19)","(18,11)",c1,A,True,190,845,212,h1
"(17,19)","(18,11)",c1,A,True,190,741,186,h2
"(17,19)","(18,11)",c2,A,True,215,869,218,h1
"(17,19)","(18,11)",c2,A,True,215,705,177,h2
